Title;Developer(s);Publisher(s);Release Year
Best of the Best: Championship Karate;Loriciel;Electro Brain;1993
Big Sky Trooper;LucasArts;JVC Musical Industries;1995
Best Shot Pro Golf;KID;ASCII;ased
Big Ichigeki! Pachi-Slot Daikouryaku;Syscom;Ask Koudansha;ased
Big Ichigeki! Pachi-Slot Daikouryaku 2;Syscom;Ask Koudansha;ased
Bike Daisuki! Hashiriya Kon: Rider's Spirits;Genki;Masaya;ased
Biker Mice from Mars;Konami;Konami;1994
Bill Laimbeer's Combat Basketball;Hewson Consultants;Hudson Soft;1991
Bill Walsh College Football;Visual Concepts;EA Sports;1994
Bing Bing! Bingo;Copya Systems;KSS;ased
BioMetal;Athena;Activision;1993
Bishoujo Janshi Suchie-Pai;DCE;Jaleco;ased
Bishoujo Senshi Sailor Moon: Another Story;Arc System Works;Angel;ased
Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2;Bandai;Bandai;ased
Bishoujo Senshi Sailor Moon R;Arc System Works;Bandai;ased
Bishoujo Senshi Sailormoon S: Jougai Rantou!? Shuyaku Soudatsusen;Arc System Works;Angel;ased
Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo!;Tom Create;Bandai;ased
Bishoujo Senshi Sailor Moon S: Kurukkurin;Tom Create;Bandai;ased
Bishoujo Senshi Sailor Moon SuperS: Fuwa Fuwa Panic;Tom Create;Bandai;ased
Bishoujo Senshi Sailor Moon SuperS – Zenin Sanka!! Shuyaku Soudatsusen;Angel;Angel;ased
Bishoujo Wrestlinger's History: Beauty Girl Wrestling;Nihon Soft System;KSS;ased
Blackthorne;Blizzard Entertainment;Interplay Entertainment;1994
BlaZeon: The Bio-Cyborg Challenge;AI;Atlus;1992
Block Kuzushi;OeRSTED;Planning Office Wada;ased
The Blue Crystal Rod;Game Studio;Namco;ased
Blue Legend Shoot!;Affect;KSS;ased
The Blues Brothers;Titus Software;Titus Software;1993
Bomberman B-Daman;A.I.;Hudson Soft;ased
Boogerman: A Pick and Flick Adventure;Interplay Entertainment;Interplay Entertainment;1995
