Title;Developer(s);Publisher(s);Release Year
Gionbana;Nichibutsu;Nichibutsu;ased
Go Go Ackman;Aspect;Banpresto;ased
Go Go Ackman 2;Aspect;Banpresto;ased
Go Go Ackman 3;Aspect;Banpresto;ased
Go! Go! Dodge League;Now Production;Pack-In-Video;ased
Goal!;Tose;Jaleco;1992
Gods;Bitmap Brothers;Mindscape;1992
Godzilla: Kaijuu Daikessen;Alfa System;Toho;lled
Gokinjo Boukentai;ITL;Pioneer LDC;ased
Gokujo Parodius! ～Kako no Eiko o Motomete～;Konami;Konami;ased
Gon;Tose;Bandai;ased
Goof Troop;Capcom;Capcom;1993
GP-1;Atlus;Atlus;1993
GP-1: Part II;Atlus;Atlus;1994
Gradius III;Konami;Konami;1991
Granhistoria: Genshi Sekaiki;J-Force;Banpresto;ased
Gre2;;Banpresto;ased
The Great Battle III;Sun L;Banpresto;ased
The Great Battle IV;Sun L;Banpresto;ased
The Great Battle V;Sun L;Banpresto;ased
GreG;;Banpresto;ased
The Great Circus Mystery Starring Mickey & Minnie;Capcom;Capcom;1994
The Great Waldo Search;Radiance Software;THQ;1993
GT Racing;Imagineer;Imagineer;ased
GunForce;Bits Studios;Irem;1992
Gurume Sentai Barayarō;Winds;Virgin Interactive;ased
Habu Meijin no Omoshiro Shougi;Access;Tomy;ased
Hagane: The Final Conflict;Red Company;Hudson Soft;1995
Haisei Mahjong Ryouga;;ASCII;ased
Hakunetsu Pro Yakyuu '93: Ganba League;Sting Entertainment;Epic/Sony Records;ased
Hakunetsu Pro Yakyuu '94: Ganba League 3;;Epic/Sony Records;ased
Hal's Hole in One Golf;HAL Laboratory;HAL Laboratory;1991
Hamelin no Violin Tamaki;Daft;Enix;ased
HammerLock Wrestling;Jaleco;Jaleco;1994
Hana no Keiji: Kumo no Kanata ni;Tose;Yojigen;ased
Hanafuda;;Imagineer;ased
Hanafuda Ou;Electronics Application;Coconuts Japan;ased
Hanjuku Hero: Aa, Sekaiyo Hanjukunare...!;Square;Square;ased
Hanna Barbera's Turbo Toons;Empire Interactive;Entertainment International UK;lled
Haō Taikei Ryū Knight;Japan Art Media;Bandai;ased
Hardball III;Accolade;Accolade;1994
Harley's Humongous Adventure;Visual Concepts;Altron;1993
Harukanaru Augusta;T&E Soft;T&E Soft;ased
Harukanaru Augusta 2: Masters;T&E Soft;T&E Soft;ased
Harukanaru Augusta 3: Masters New;T&E Soft;T&E Soft;ased
Harvest Moon;Pack-In-Video;Pack-In-Video;1997
Hashire Hebereke;Sunsoft;Sunsoft;ased
Hat Trick Hero 2;Neverland;Taito;lled
Hatayama Hatch no Pro Yakyuu News! Jitsumei Han;Agenda;Epoch Co.;ased
Hayashi Kaihou Kudan no Igo Oodou;;ASK;ased
Hayazashi Nidan Morita Shogi;Random House;SETA;ased
Hayazashi Nidan Morita Shogi 2;Random House;SETA;ased
Hebereke no Oishii Puzzle: ha Irimasen ka;;Sunsoft;ased
Hebereke's Popoitto;Sunsoft;Sunsoft;ased
Hebereke's Popoon;Sunsoft;Sunsoft;ased
Heian Fuuunden;Natsume;KSS;ased
Heisei Gunjin Shougi;;Carrozzeria;ased
Heisei Inu Monogatari Bow: Pop'n Smash!!;;Takara;ased
Heisei Shin Oni Ga Shima (Part 1);;Nintendo;ased
Heisei Shin Oni Ga Shima (Part 2);;Nintendo;ased
Heiwa Pachinko World;Office Koukan;Shouei;ased
Heiwa Pachinko World 2;;Shouei;ased
Heiwa Pachinko World 3;;Shouei;ased
Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game;;Nippon Telenet;ased
Hercules no Eikou III;Data East;Data East;ased
Hercules no Eikou IV;Data East;Data East;ased
Hero Senki: Project Olympus;Winkysoft;Banpresto;ased
Higashio Osamu Kanshuu Super Pro Yakyuu Stadium;C-Lab;Tokuma Shoten;ased
Hiouden: Mamono-tachi tono Chikai;Wolf Team;Wolf Team;ased
Hiryuu no Ken S: Hyper Version;Culture Brain;Culture Brain;ased
Hissatsu Pachinko Collection;;Sunsoft;ased
Hissatsu Pachinko Collection 2;;Sunsoft;ased
Hissatsu Pachinko Collection 3;;Sunsoft;ased
Hissatsu Pachinko Collection 4;;Sunsoft;ased
Hisshou 777 Fighter: Pachi-Slot Ryuuguu Densetsu;Jorudan;VAP;ased
Hisshou 777 Fighter II: Pachi-Slot Maruhi Jouhou;Jorudan;VAP;ased
Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu;Jorudan;VAP;ased
Hisshou Pachi-Slot Fun;;Pow;ased
Hit the Ice;Taito;Taito;1993
Hokuto no Ken 5;Shouei;Toei Animation;ased
Hokuto no Ken 6;Shouei;Toei Animation;ased
Hokuto no Ken 7;Shouei;Toei Animation;ased
Holy Umbrella: Dondera no Mubo;Earthly Soft;Naxat Soft;ased
Home Alone;Imagineering;THQ;1991
Home Alone 2: Lost in New York;Imagineering;THQ;1992
Home Improvement: Power Tool Pursuit!;Imagineering;Absolute Entertainment;1994
Honkaku Mahjong: Tetsuman;Syscom;Naxat Soft;ased
Honkaku Mahjong: Tetsuman II;Khaos;Naxat Soft;ased
Honkaku Shougi: Fuuunji Ryuuou;Aisystem Tokyo;Virgin Interactive;ased
Honkakuha Igo: Gosei;Aisystem Tokyo;Taito;ased
Honke Sankyo Fever: Jikkyou Simulation;Vistec;Den'Z;ased
Honke Sankyo Fever: Jikkyou Simulation 2;Vistec;Boss Communications;ased
Honke Sankyo Fever: Jikkyou Simulation 3;Vistec;Boss Communications;ased
Honoo no Doukyuuji: Dodge Danpei;;Sunsoft;ased
Hook;Ukiyotei;Sony Imagesoft;1992
Horai Gakuen no Bouken!;Dynamite;J-Wing;ased
Houkago in Beppin Jogakuin;Access;Imagineer;ased
Human Baseball;Human Entertainment;Human Entertainment;ased
Human Grand Prix III: F1 Triple Battle;Human Entertainment;Human Entertainment;ased
Human Grand Prix IV: F1 Dream Battle;Human Entertainment;Human Entertainment;ased
The Humans;Imagitec Design;GameTek;lled
Hungry Dinosaurs;Magical Company;Sunsoft;ased
The Hunt for Red October;Riedel Software Productions;Hi Tech Expressions;1993
Hurricanes;Probe Entertainment;U.S. Gold;1994
Hyper Battle Game: Zen Nihon GT Senshuken;C.P. Brain;Banpresto;ased
Hyper Iria;TamTam;Banpresto;ased
Hyper V-Ball;Video System;Video System;1994
HyperZone;HAL Laboratory;HAL Laboratory;1991
Idea no Hi;Office Koukan;Shouei;ased
The Ignition Factor;Jaleco;Jaleco;1995
Igo Club;;Hect;ased
Ihatovo Monogatari;Hect;Hect;ased
Illusion of Gaia;Quintet;Enix;1994
Illvanian no Shiro;;Nippon Clary Business;ased
Imperium;Jorudan;Vic Tokai;1992
Inazuma Serve da!! Super Beach Volley;;Virgin Interactive;ased
Incantation;Titus Software;Titus Software;1996
The Incredible Crash Dummies;Gray Matter;LJN;1993
The Incredible Hulk;Probe Entertainment;U.S. Gold;1994
Indiana Jones' Greatest Adventures;Factor 5;JVC Musical Industries;1994
Inindo: Way of the Ninja;Koei;Koei;1993
Inspector Gadget;AIM;Hudson Soft;1993
International Sensible Soccer: World Champions;Sensible Software;Renegade Software;ased
International Superstar Soccer;Konami;Konami;1995
International Superstar Soccer Deluxe;Konami;Konami;1995
International Tennis Tour;Loriciel;Taito;1993
Ippatsu Gyakuten: Keiba Keirin Kyoutei;Electronics Application;Pow;ased
The Irem Skins Game;Irem;Irem;1992
Iron Commando: Koutetsu no Senshi;Arcade Zone;Poppo;ased
Isozuri: Ritou Hen;;Pack-In-Video;ased
Itadaki Street 2: Neon Sign wa Bara Iro ni;Tomcat System;Enix;ased
The Itchy & Scratchy Game;Bits Studios;Acclaim Entertainment;1995
Itoi Shigesato no Bass Tsuri No. 1;HAL Laboratory;Nintendo;ased
Itou Haka Rokudan no Shougi Doujou;;ASK;ased
Izzy's Quest for the Olympic Rings;Alexandria;U.S. Gold;1995
J.League '96 Dream Stadium;A.I.;Hudson Soft;ased
J.League Excite Stage '95;A-Max;Epoch;ased
J.League Excite Stage '96;A-Max;Epoch;ased
J.League Soccer Prime Goal;Namco;Namco;ased
J.League Soccer Prime Goal 2;;Namco;ased
J.League Super Soccer '95 Jikkyou Stadium;A.I.;Hudson Soft;ased
J.R.R. Tolkien's The Lord of the Rings, Vol. I;Interplay Entertainment;Interplay Entertainment;1994
Jack Nicklaus Golf;Leland Interactive Media;Tradewest;1992
Jaki Crush;Compile;Naxat Soft;ased
Jaleco Rally: Big Run: The Supreme 4WD Challenge;;Jaleco;lled
James Bond Jr.;Gray Matter;THQ;1992
James Pond 3: Operation Starfish;Millennium Interactive;Electronic Arts;ased
Jammes;Mighty Craft;Carrozzeria;ased
Jammit;GTE Interactive Media;GTE Interactive Media;1994
Janyuuki Gokuu Randa;;Virgin Interactive;ased
JB The Super Bass;Gaps;Naxat Soft;ased
Jelly Boy;Probe Entertainment;Ocean Software;lled
Jeopardy!;Imagineering;GameTek;1992
Jeopardy! Deluxe Edition;;GameTek;1994
Jeopardy! Sports Edition;;GameTek;1994
The Jetsons: Invasion of the Planet Pirates;Sting Entertainment;Kadokawa Shoten;1994
Jikkyou Keiba Simulation: Stable Star;KCEO;Konami;ased
Jikkyou Oshaberi Parodius;KCEO;Konami;ased
Jikkyou Power Pro Wrestling '96: Max Voltage;Diamond Head;Konami;ased
Jikkyou Powerful Pro Yakyuu: Basic Han '98;Diamond Head;Konami;ased
Jikkyou Powerful Pro Yakyuu '94;;Konami;lled
Jikkyou Powerful Pro Yakyuu '96 Kaimaku Han;Diamond Head;Konami;ased
Jikkyou Powerful Pro Yakyuu 2;;Konami;ased
Jikkyou Powerful Pro Yakyuu 3;Diamond Head;Konami;ased
Jikkyou Powerful Pro Yakyuu 3 '97 Haru;Diamond Head;Konami;ased
Jim Lee's WildC.A.T.S: Covert Action Teams;Beam Software;Playmates Interactive;1995
Jim Power: The Lost Dimension in 3-D;Loriciel;Electro Brain;1993
Jimmy Connors Pro Tennis Tour;Blue Byte;Ubisoft;1992
Jimmy Houston's Bass Tournament U.S.A.;American Sammy;American Sammy;1995
Jirou Akagawa: Majotachi no Nemuri;Minato Giken;Pack-In-Video;ased
Jissen Kyoutei;Aisystem Tokyo;Imagineer;ased
Jissen Pachi-Slot Hisshouhou;;Sammy Corporation;ased
Jissen Pachi-Slot Hisshouhou! 2;;Sammy Corporation;ased
Jissen Pachi-Slot Hisshouhou! Classic;;Sammy Corporation;ased
Jissen Pachi-Slot Hisshouhou! Twin;;Sammy Corporation;ased
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2;Tose;Sammy Corporation;ased
Jissen Pachi-Slot Hisshouhou! Yamasa Densetsu;;Sammy Corporation;ased
Jissen Pachinko Hisshouhou! 2;;Sammy Corporation;ased
Jissen! Mahjong Shinan;Syscom;ASK;ased
Joe & Mac;Data East;Data East;1992
Joe & Mac 2: Lost in the Tropics;Data East;Data East;1994
John Madden Football;Park Place Productions;EA Sports;1991
John Madden Football '93;EA Canada;EA Sports;1992
JoJo no Kimyou na Bouken;Winkysoft;Cobra Team;ased
Joushou Mahjong Tenpai;Game Arts;Enix;ased
JRA PAT;NTT;NTT;ased
JRA PAT: Wide Baken Taiyou;NTT;NTT;ased
Judge Dredd;Probe Entertainment;Acclaim Entertainment;1995
Jumpin' Derby;KID;Naxat Soft;ased
The Jungle Book;Eurocom;Virgin Interactive;1994
Jungle no Ouja Tar-chan: Sekai Man'yuu Dai Kakutou no Maki;Kuusou Kagaku;Bandai;ased
Jungle Strike;Gremlin Interactive;Electronic Arts;1995
Jungle Wars 2: Kodai Mahou Atimos no Nazo;Atelier Double;Pony Canyon;ased
Jurassic Park;Ocean Software;Ocean Software;1993
Jurassic Park 2: The Chaos Continues;Ocean Software;Ocean Software;1995
Justice League Task Force;Blizzard Entertainment;Acclaim Entertainment;1995
Jutei Senki;Tam Tam;Enix;ased
JWP Joshi Pro Wrestling: Pure Wrestle Queens;;Jaleco;ased
Ka-Blooey;Kemco;Kemco;1992
Kabuki-chou Reach Mahjong: Toupuusen;Studio Softmov;Pony Canyon;ased
Kabuki Rocks;Red Company;Atlus;ased
Kachou Kousaku Shima: Super Business Adventure;Tom Create;Yutaka;ased
Kakinoki Shougi;SAS Sakata;ASCII;ased
Kamaitachi no Yoru;;Chunsoft;ased
Kamen Rider;Sun L;Bandai;ased
Kamen Rider SD: Shutsugeki!! Rider Machine;;Yutaka;ased
Kat's Run: Zen-Nippon K Car Senshuken;Atlus;Atlus;ased
Katou Ichi-Ni-San Kudan Shougi Club;Hect;Hect;ased
Kawa no Nushi Tsuri 2;;Pack-In-Video;ased
Kawasaki Caribbean Challenge;Park Place Productions;GameTek;1993
Kawasaki Superbike Challenge;Domark;Time Warner Interactive;1995
Keeper;Fupac;Bullet-Proof Software;lled
Keiba Eight Special;C-Lab;Misawa;ased
Keiba Eight Special 2;C-Lab;Imagineer;ased
Keiba Yosou Baken Renkinjutsu;;KSS;ased
Ken Griffey Jr. Presents Major League Baseball;Software Creations;Nintendo;1994
Ken Griffey Jr.'s Winning Run;Rare;Nintendo;1996
Kendo Rage;SETA;SETA;1993
Kenyuu Densetsu Yaiba;Atelier Double;Banpresto;ased
Kero Kero Keroppi no Bōken Nikki: Nemureru Mori no Keroleen;;Character Soft;ased
Kessen! Dokapon Okukoku IV: Densetsu no Yuusha Tachi;;Asmik Ace Entertainment;ased
Kevin Keegan's Player Manager;Anco;Imagineer;ased
Kick Off;Anco;Imagineer;ased
Kick Off 3: European Challenge;Anco;Vic Tokai;lled
Kid Klown in Crazy Chase;Kemco;Kemco;1994
Kidou Butouden G-Gundam;Pandora Box;Bandai;ased
Kidou Senshi Gundam: Cross Dimension 0079;;Bandai;ased
Kidou Senshi Gundam F91: Formula Senki 0122;Nova Games;Bandai;ased
Kidou Senshi V Gundam;Tose;Bandai;ased
Kidou Senshi Z Gundam: Away to the NewType;;Bandai;ased
Kidō Keisatsu Patlabor;Interbec;BEC;ased
Kikuni Masahiko no Jantoushi Dora Ou;C-Lab;Planning Office Wada;ased
Kikuni Masahiko no Jantoushi Dora Ou 2;;Planning Office Wada;ased
Killer Instinct;Rare;Nintendo;1995
Kindai Mahjong Special;Outback;Imagineer;ased
King Arthur & the Knights of Justice;Manley & Associates;Enix;1995
King Arthur's World;Argonaut Games;Jaleco;1994
The King of Dragons;Capcom;Capcom;1994
King of the Monsters;Genki;Takara;1992
King of the Monsters 2;Now Production;Takara;1994
The King of Rally;KAZe;Meldac;lled
Kingyo Chuuihou! Tobidase Game Gakuen;;Jaleco;ased
Kinnikuman: Dirty Challenger;;Yutaka;ased
Kirby no Kirakira Kizzu;HAL Laboratory;Nintendo;ased
Kirby Super Star;HAL Laboratory;Nintendo;1996
Kirby's Avalanche;Compile;Nintendo;1995
Kirby's Dream Course;HAL Laboratory;Nintendo;1995
Kirby's Dream Land 3;HAL Laboratory;Nintendo;1997
Kishin Douji Zenki: Batoru Raiden;CAProduction;Hudson Soft;ased
Kishin Douji Zenki: Denei Raibu;Now Production;Hudson Soft;ased
Kishin Douji Zenki: Tenchi Meidou;;Hudson Soft;ased
Kishin Korinden Oni;Pandora's Box;Banpresto;ased
Kiteretsu Daihyakka: Choujikuu Sugoroku;Video System;Video System;ased
Knights of the Round;Capcom;Capcom;1994
Konpeki no Kantai;Access;Angel;ased
Kouryaku Casino Bar;Nichibutsu;Nichibutsu;ased
Kouryuu Densetsu Villgust;Winkysoft;Bandai;ased
Kouryuu no Mimi;VAP;VAP;ased
Koushien 2;Affect;K Amusement Leasing;ased
Koushien 3;Magical Company;Magical Company;ased
Koushien 4;Magical Company;Magical Company;ased
Kousoku Shikou: Shougi Ou;Access;Imagineer;ased
Koutetsu no Kishi;Dual;Asmik Ace Entertainment, Inc;ased
Koutetsu no Kishi 2: Sabaku no Rommel Shougun;Dual;Asmik Ace Entertainment, Inc;ased
Koutetsu no Kishi 3: Gekitotsu Europe Sensen;Dual;Asmik Ace Entertainment, Inc;ased
Krusty's Super Fun House;Audiogenic;Acclaim Entertainment;1992
Kunio no Oden;;Technōs Japan;ased
Kunio-kun no Dodgeball da yo Zen'in Shūgō!!;Technōs Japan;Technōs Japan;ased
Kunio-kun no Dodge Ball: Zenin Shuugou! Tournament Special;Technōs Japan;Technōs Japan;ased
Kuusou Kagaku Sekai Gulliver Boy;Amble;Bandai;ased
Kyle Petty's No Fear Racing;Leland Interactive Media;Williams Entertainment;1995
Kyouraku Sanyou Maruhon Parlor! Parlor!;;Nippon Telenet;ased
Kyouraku Sanyou Maruhon Parlor! Parlor! 2;;Nippon Telenet;ased
Kyouraku Sanyou Maruhon Parlor! Parlor! 3;;Nippon Telenet;ased
Kyouraku Sanyou Maruhon Parlor! Parlor! IV CR;;Nippon Telenet;ased
Kyouraku Sanyou Maruhon Parlor! Parlor! 5;;Nippon Telenet;ased
Kyuuyaku Megami Tensei;Opera House;Atlus;ased
Lady Stalker: Challenge from the Past;Climax Entertainment;Taito;ased
Lagoon;Kemco;Kemco;1991
Lamborghini American Challenge;Titus Software;Titus Software;1993
Laplace no Ma;;Vic Tokai;ased
Laser Birdie: Get in the Hole;Richo;Richo;ased
Last Action Hero;Bits Studios;Sony Imagesoft;1993
The Last Battle;Atelier Double;Techiku;ased
Last Bible III;Multimedia Intelligence Transfer;Atlus;ased
The Lawnmower Man;Sales Curve Interactive;THQ;1993
Leading Company;Koei;Koei;ased
Leading Jockey;;Carrozzeria;ased
Leading Jockey 2;;Carrozzeria;ased
Legend;Arcade Zone;Seika Corporation;1994
The Legend of the Mystical Ninja;Konami;Konami;1992
The Legend of Zelda: A Link to the Past;Nintendo;Nintendo;1992
Lemmings;Psygnosis;Sunsoft;1992
Lemmings 2: The Tribes;Psygnosis;Psygnosis;1994
Lennus II: Fuuin no Shito;Copya System;Asmik Ace Entertainment;ased
Lester the Unlikely;Visual Concepts;DTMC;1994
Lethal Enforcers;Konami;Konami;1994
Lethal Weapon;Ocean Software;Ocean Software;1992
Liberty or Death;Koei;Koei;1994
Libble Rabble;Namco;Namco;ased
Light Fantasy;Advance Communication Company;Tonkin House;ased
Light Fantasy II;;Tonkin House;ased
The Lion King;Westwood Studios;Virgin Interactive;1994
Little Magic;;Altron;ased
Little Master: Nijiiro no Maseki;Tokuma Shoten;Tokuma Shoten;ased
Live A Live;Square;Square;ased
Lock On;Copya System;Vic Tokai;1993
Lode Runner Twin: Justy to Liberty no Daibouken;;T&E Soft;ased
Lodoss Tou Senki: Record of Lodoss War;Thinking Rabbit;Kadokawa Shoten;ased
Logos Panic;Kan's;Yutaka;ased
Looney Tunes B-Ball;Sculptured Software;Sunsoft;1995
Lord Monarch;AIM;Epoch Co.;ased
The Lost Vikings;Silicon & Synapse;Interplay Entertainment;1993
The Lost Vikings 2;Blizzard Entertainment;Interplay Entertainment;1997
Love Quest;C-Lab;Tokuma Shoten;ased
Lucky Luke;Infogrames;Infogrames;ased
Lufia & the Fortress of Doom;Neverland;Taito;1993
Lufia II: Rise of the Sinistrals;Neverland;Natsume;1996
Lupin III: Densetsu no Hihō o Oe!;Pop House/SAS Sakata;Epoch Co.;ased
M.A.C.S. Basic Rifle Marksmanship;Sculptured Software;;1993
Madden NFL '94;Visual Concepts;Electronic Arts;1993
Madden NFL '95;Visual Concepts;Electronic Arts;1994
Madden NFL '96;Tiburon Entertainment;Electronic Arts;1995
Madden NFL 97;Tiburon Entertainment;Electronic Arts;1996
Madden NFL 98;Electronic Arts;THQ;1997
Madou Monogatari: Hanamaru Daiyouchienji;Compile;Compile;ased
Magic Boy;Empire Software;JVC Musical Industries;1996
Magic Knight Rayearth;Pandora Box;Tomy;ased
Magic Sword;Minakuchi Engineering;Capcom;1992
Magical Drop;Data East;Data East;ased
Magical Drop 2;Data East;Data East;ased
The Magical Quest Starring Mickey Mouse;Capcom;Capcom;1992
Magical Pop'n;Polestar;Pack-in-Video;ased
Magical Taruruuto-kun: Magic Adventure;Tose;Bandai;ased
Magna Braban: Henreki no Yuusha;Lenar;ASK;ased
Mahjong Club;Natsu System;Hect;ased
Mahjong Gokuu Tenjiku;Chat Noir;Chat Noir;ased
Mahjong Hanjouki;;Nichibutsu;ased
Mahjong Sengoku Monogatari;Khaos;Yojigen;ased
Mahjong Taikai II;;Koei;ased
The Mahjong Touhaiden;Khaos;Video System;ased
Mahou Poi Poi Poitto!;Metro;Takara;ased
Mahoujin Guru Guru;Tam Tam;Enix;ased
Mahoujin Guru Guru 2;Tam Tam;Enix;ased
Majin Tensei;Atlus;Atlus;ased
Majin Tensei II: Spiral Nemesis;Atlus;Atlus;ased
Majuu Ou;;KSS;ased
Maka Maka;Office Koukan;Sigma Enterprises;ased
Makeruna! Makendou 2: Kimero Youkai Souri;Success;Datam Polystar;ased
Manchester United Championship Soccer;Krisalis Software;Ocean Software;ased
Marchen Adventure Cotton 100%;Success;Datam Polystar;ased
Mario & Wario;Game Freak;Nintendo;lled
Mario is Missing!;The Software Toolworks;The Software Toolworks;1993
Mario no Super Picross;;Nintendo;ased
Mario Paint;Nintendo;Nintendo;1992
Mario's Early Years! Fun with Letters;The Software Toolworks;The Software Toolworks;1994
Mario's Early Years! Fun with Numbers;The Software Toolworks;The Software Toolworks;1994
Mario's Early Years! Preschool Fun;The Software Toolworks;Mindscape;1994
Mario's Time Machine;The Software Toolworks;The Software Toolworks;1993
Mark Davis' The Fishing Master;Natsume;Natsume;1996
Marko's Magic Football;Domark;Acclaim Entertainment;ased
Marmalade Boy;Kuusou Kagaku;Bandai;ased
Marvel Super Heroes: War of the Gems;Capcom;Capcom;1996
Marvelous: Mouhitotsu no Takarajima;Nintendo R&D2;Nintendo;ased
Mary Shelley's Frankenstein;Bits Studios;Sony Imagesoft;1994
The Mask;Black Pearl Software;Black Pearl Software;1995
Maten Densetsu: Senritsu no Ooparts;Thinking Rabbit;Takara;ased
Math Blaster: Episode 1;Western Technologies;Davidson & Associates;1994
Matsukata Hiroki no Super Trawling;Atelier Double;Tonkin House;ased
Matsumura Kunihiro Den: Saikyou no Rekishi o Nurikaero!;Office Koukan;Shouei;ased
Maui Mallard in Cold Shadow;Eurocom Entertainment Software;Nintendo;1997
Mazinger Z;Winkysoft;Bandai;ased
Mecarobot Golf;Toho;Toho;1993
MechWarrior;Beam Software;Activision;1993
MechWarrior 3050;Tiburon Entertainment;Activision;1995
Mega Lo Mania;Sensible Software;Virgin Interactive;ased
Mega Man 7;Capcom;Capcom;1995
Mega Man Soccer;Sun L;Capcom;1994
Mega Man X;Capcom;Capcom;1994
Mega Man X2;Capcom;Capcom;1995
Mega Man X3;Minakuchi Engineering;Capcom;1996
Melfand Stories;Sting Entertainment;ASCII;ased
Metal Combat: Falcon's Revenge;Intelligent Systems;Nintendo;1993
Metal Marines;Namco;Namco;1993
Metal Max 2;Crea-Tech;Data East;ased
Metal Max Returns;Crea-Tech;Data East;ased
Metal Morph;Origin Systems;FCI;1994
Metal Slader Glory: Director's Cut;HAL Laboratory;Nintendo;ased
Metal Warriors;LucasArts;Konami;1995
Michael Andretti's Indy Car Challenge;Genki;Bullet-Proof Software;1994
Michael Jordan: Chaos in the Windy City;Electronic Arts;Electronic Arts;1994
Mickey Mania;Traveller's Tales;Sony Imagesoft;1994
Mickey no Tokyo Disneyland Daibōken;Graphic Research;Tomy;ased
Mickey to Donald: Magical Adventure 3;Capcom;Capcom;ased
Mickey's Ultimate Challenge;Designer Software;Hi Tech Expressions;1994
Micro Machines;Codemasters;Ocean Software;1994
Micro Machines 2: Turbo Tournament;Codemasters;Ocean Software;ased
Might and Magic II: Gates to Another World;New World Computing;Elite Systems;lled
Might and Magic III: Isles of Terra;Iguana Entertainment;FCI;1995
Mighty Morphin Power Rangers;Natsume;Bandai;1994
Mighty Morphin Power Rangers: The Movie;Natsume;Bandai;1995
Mighty Morphin Power Rangers: The Fighting Edition;Natsume;Bandai;1995
Milandra;Tomcat System;ASCII Entertainment;ased
Mini Yonku Let's & Go!!: Power WGP 2;Jupiter;Nintendo;ased
Mini Yonku Shining Scorpion: Let's & Go!!;KID;ASCII;ased
Miracle Casino Paradise;;Carrozzeria;ased
Miracle Girls;Now Production;Takara;ased
Miracle Piano;The Software Toolworks;The Software Toolworks;1991
Miyaji Shachou no Pachinko Fan: Shouri Sengen 2;;Planning Office Wada;ased
Mizuki Shigeru no Youkai Hyakkiyakou;;KSS;ased
MLBPA Baseball;Visual Concepts;EA Sports;1994
Mohawk & Headphone Jack;Black Pearl Software;Black Pearl Software;1996
Momotarou Dentetsu Happy;Make;Hudson Soft;ased
Monopoly;Sculptured Software;Parker Brothers;1992
Monopoly;Tomy;Tomy;ased
Monopoly 2;Tonka;Tomy;ased
Monstania;Bits Laboratory;Pack-In-Video;ased
Monster Maker III: Hikari no Majutsushi;;SOFEL;ased
Monster Maker Kids: Ousama ni Naritai;;SOFEL;ased
Mortal Kombat;Sculptured Software;Acclaim Entertainment;1993
Mortal Kombat II;Sculptured Software;Acclaim Entertainment;1994
Mortal Kombat 3;Sculptured Software;Williams Entertainment;1995
Mōryō Senki MADARA 2;Konami;Konami;ased
Motoko-chan no Wonder Kitchen;Ajinomoto;Ajinomoto;ased
Motteke Oh! Dorobou;;Data East;ased
Mountain Bike Rally;Radical Entertainemnt;Life Fitness Entertainment;1995
Mr. Do!;C-Lab;Black Pearl Software;1996
Mr. Nutz;Ocean Software;Ocean Software;1994
Ms. Pac-Man;Digital Eclipse Software;Williams Entertainment;1996
Mujintou Monogatari;Open Sesame;KSS;ased
Multi Play Volleyball;Mebio Software;Pack-In-Video;ased
Musya;Jorudan;SETA;1992
Mystery Circle;Sammy Studios;K Amusement Leasing;ased
Mystic Ark;Produce;Enix;ased
Nage Libre: Seijaku no Suishin;;Varie;ased
Nakajima Satoru F-1 Hero '94;;Varie;ased
Nakano Koichi Kanshuu: Keirin-Ou;C-Lab;Coconuts Japan;ased
Naki no Ryū: Mahjong Hishō-den;;IGS;ased
Namco Open;Tose;Namco;ased
Nankoku Shōnen Papuwa-kun;Daft;Enix;ased
Naruhodo! The World;;Tomy;ased
Natsuki Crisis Battle;Tose;Angle;ased
Natsume Championship Wrestling;Natsume;Natsume;1994
NBA All-Star Challenge;Beam Software;LJN;1992
NBA Give 'n Go;Konami;Konami;1995
NBA Hangtime;Funcom;Midway Games;1996
NBA Jam;Iguana Entertainment;Acclaim Entertainment;1994
NBA Jam Tournament Edition;Iguana Entertainment;Acclaim Entertainment;1995
NBA Live 95;Electronic Arts;EA Sports;1994
NBA Live 96;Electronic Arts;EA Sports;1995
NBA Live 97;Electronic Arts;EA Sports;1996
NBA Live 98;EA Sports;THQ;1997
NBA Showdown;Electronic Arts;EA Sports;1993
NCAA Basketball;Sculptured Software;HAL Laboratory;1992
NCAA Final Four Basketball;Bitmasters;Mindscape;1995
NCAA Football;The Software Toolworks;Mindscape;1994
Nekketsu Tairiku Burning Heroes;J-Force;Enix;ased
Neugier: Umi to Kaze no Kodō;Wolf Team;Telenet Japan;lled
New Yatterman: Nandai Kandai Yajirobee;Tom Create;Yutaka;ased
New Mobile Report Gundam Wing: Endless Duel;;Bandai;ased
Newman/Haas IndyCar featuring Nigel Mansell;Gremlin Interactive;Acclaim Entertainment;1994
NFL Football;Park Place Productions;Konami;1993
NFL Quarterback Club;Iguana Entertainment;LJN;1994
NFL Quarterback Club 96;Iguana Entertainment;Acclaim Entertainment;1995
NHL '94;Electronic Arts;EA Sports;1993
NHL 95;Visual Concepts;EA Sports;1994
NHL 96;High Score Productions /;EA Sports;1995
NHL 97;Black Pearl Software;EA Sports;1996
NHL 98;THQ;EA Sports;1997
NHL Stanley Cup;Sculptured Software;Nintendo;1993
NHLPA Hockey '93;Electronic Arts;EA Sports;1992
Nice de Shot;Magical Company;ASK;ased
Nichibutsu Arcade Classics;Syscom;Nichibutsu;ased
