Title;Developer(s);Publisher(s);Release Year;Platform;Genre
Snake's Revenge;Konami;Ultra Games;1990;NES;Adventure
Super C;Konami;Konami;1990;NES;Shooter
Teenage Mutant Ninja Turtles II: The Arcade Game;Konami;Ultra Games;1990;NES;Fighting
Top Gun: The Second Mission;Konami;Konami;1990;NES;Shooter
Super Mario Bros./Duck Hunt/World Class Track Meet;Nintendo;Nintendo;1990;NES;Platformer
Super Spike V'Ball/Nintendo World Cup;Nintendo;Nintendo;1990;NES;Sports
Barker Bill's Trick Shooting;Nintendo Research & Development 1;Nintendo;1990;NES;Shooter
Dr. Mario;Nintendo Research & Development 1;Nintendo;1990;NES;Puzzle
Punch-Out!! Featuring Mr. Dream;Nintendo Research & Development 3;Nintendo;1990;NES;Fighting
StarTropics;Nintendo Research & Development 3;Nintendo;1990;NES;Adventure
Super Mario Bros. 3;Nintendo Research & Development 4;Nintendo;1990;NES;Platformer
Final Fantasy;Square;Nintendo;1990;NES;RPG
Rad Racer II;Square;Square;1990;NES;Racing
Disney's The Little Mermaid;Capcom;Capcom;1991;NES;Platformer
TaleSpin;Capcom;Capcom;1991;NES;Shooter
Final Fight;Capcom;Capcom;1991;SNES;Fighting
Super Ghouls 'n Ghosts;Capcom;Capcom;1991;SNES;Platformer
U.N. Squadron;Capcom;Capcom;1991;SNES;Shooter
Adventures of Lolo 3;HAL Laboratory;HAL America;1991;NES;Puzzle
Hal's Hole in One Golf;HAL Laboratory;HAL Laboratory;1991;SNES;Sports
HyperZone;HAL Laboratory;HAL Laboratory;1991;SNES;Shooter
Base Wars;Konami;Ultra Games;1991;NES;Sports
Laser Invasion;Konami;Konami;1991;NES;Shooter
The Lone Ranger;Konami;Konami;1991;NES;Adventure
Ski or Die;Konami;Ultra Games;1991;NES;Sports
Tiny Toon Adventures;Konami;Konami;1991;NES;Platformer
Gradius III;Konami;Konami;1991;SNES;Shooter
Super Castlevania IV;Konami;Konami;1991;SNES;Platventure
F-Zero;Nintendo;Nintendo;1991;SNES;Racing
Pilotwings;Nintendo;Nintendo;1991;SNES;Sports
SimCity;Nintendo;Nintendo;1991;SNES;Strategy
Super Mario World;Nintendo;Nintendo;1991;SNES;Platformer
NES Open Tournament Golf;Nintendo Research & Development 2;Nintendo;1991;NES;Sports
Final Fantasy II;Square;Square;1991;SNES;RPG
Disney's Darkwing Duck;Capcom;Capcom;1992;NES;Platformer
Gargoyle's Quest II: The Demon Darkness;Capcom;Capcom;1992;NES;Adventure
Mega Man 4;Capcom;Capcom;1992;NES;Platventure
Mega Man 5;Capcom;Capcom;1992;NES;Platventure
The Magical Quest Starring Mickey Mouse;Capcom;Capcom;1992;SNES;Platformer
