Title;Developer(s);Publisher(s);Release Year;Platform
Final Fight;Capcom;Capcom;1991;SNES
Super Ghouls 'n Ghosts;Capcom;Capcom;1991;SNES
U.N. Squadron;Capcom;Capcom;1991;SNES
Adventures of Lolo 3;HAL Laboratory;HAL America;1991;NES
Hal's Hole in One Golf;HAL Laboratory;HAL Laboratory;1991;SNES
HyperZone;HAL Laboratory;HAL Laboratory;1991;SNES
Base Wars;Konami;Ultra Games;1991;NES
Laser Invasion;Konami;Konami;1991;NES
The Lone Ranger;Konami;Konami;1991;NES
Ski or Die;Konami;Ultra Games;1991;NES
Tiny Toon Adventures;Konami;Konami;1991;NES
Gradius III;Konami;Konami;1991;SNES
Super Castlevania IV;Konami;Konami;1991;SNES
F-Zero;Nintendo;Nintendo;1991;SNES
Pilotwings;Nintendo;Nintendo;1991;SNES
SimCity;Nintendo;Nintendo;1991;SNES
Super Mario World;Nintendo;Nintendo;1991;SNES
NES Open Tournament Golf;Nintendo Research & Development 2;Nintendo;1991;NES
Final Fantasy II;Square;Square;1991;SNES
Disney's Darkwing Duck;Capcom;Capcom;1992;NES
Gargoyle's Quest II: The Demon Darkness;Capcom;Capcom;1992;NES
Mega Man 4;Capcom;Capcom;1992;NES
Mega Man 5;Capcom;Capcom;1992;NES
The Magical Quest Starring Mickey Mouse;Capcom;Capcom;1992;SNES
Street Fighter II: The World Warrior;Capcom;Capcom;1992;SNES
Super Buster Bros.;Capcom;Capcom;1992;SNES
Dragon Warrior III;Chunsoft;Enix;1992;NES
Dragon Warrior IV;Chunsoft;Enix;1992;NES
Arcana;HAL Laboratory;HAL Laboratory;1992;SNES
Bucky O'Hare;Konami;Konami;1992;NES
Contra Force;Konami;Konami;1992;NES
Monster in My Pocket;Konami;Konami;1992;NES
Teenage Mutant Ninja Turtles III: The Manhattan Project;Konami;Konami;1992;NES
Axelay;Konami;Konami;1992;SNES
Contra III: The Alien Wars;Konami;Konami;1992;SNES
The Legend of the Mystical Ninja;Konami;Konami;1992;SNES
Teenage Mutant Ninja Turtles IV: Turtles in Time;Konami;Konami;1992;SNES
Super Batter Up;Namco;Namco;1992;SNES
The Legend of Zelda: A Link to the Past;Nintendo;Nintendo;1992;SNES
Mario Paint;Nintendo;Nintendo;1992;SNES
Super Mario Kart;Nintendo;Nintendo;1992;SNES
Super Scope 6;Nintendo;Nintendo;1992;SNES
Final Fantasy Mystic Quest;Square;Square;1992;SNES
Mighty Final Fight;Capcom;Capcom;1993;NES
Disney's Aladdin;Capcom;Capcom;1993;SNES
Final Fight 2;Capcom;Capcom;1993;SNES
Goof Troop;Capcom;Capcom;1993;SNES
Street Fighter II Turbo: Hyper Fighting;Capcom;Capcom;1993;SNES
Kirby's Adventure;HAL Laboratory;Nintendo;1993;NES
Vegas Stakes;HAL Laboratory;Nintendo;1993;SNES
Batman Returns;Konami;Konami;1993;NES
Tiny Toon Adventures 2: Trouble in Wackyland;Konami;Konami;1993;NES
Zen the Intergalactic Ninja;Konami;Konami;1993;NES
Batman Returns;Konami;Konami;1993;SNES
Sunset Riders;Konami;Konami;1993;SNES
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1993;SNES
Tiny Toon Adventures: Buster Busts Loose!;Konami;Konami;1993;SNES
Pac-Man;Namco;Namco;1993;NES
Metal Marines;Namco;Namco;1993;SNES
Pac-Attack;Namco;Namco;1993;SNES
Star Fox;Nintendo;Nintendo;1993;SNES
Super Mario All-Stars;Nintendo;Nintendo;1993;SNES
Yoshi's Safari;Nintendo;Nintendo;1993;SNES
Secret of Mana;Square;Square;1993;SNES
Mega Man 6;Capcom;Nintendo;1994;NES
Breath of Fire;Capcom;Capcom;1994;SNES
Demon's Crest;Capcom;Capcom;1994;SNES
Eye of the Beholder;Capcom;Capcom;1994;SNES
Final Fight Guy;Capcom;Capcom;1994;SNES
The Great Circus Mystery Starring Mickey & Minnie;Capcom;Capcom;1994;SNES
The King of Dragons;Capcom;Capcom;1994;SNES
Knights of the Round;Capcom;Capcom;1994;SNES
Mega Man X;Capcom;Capcom;1994;SNES
Saturday Night Slam Masters;Capcom;Capcom;1994;SNES
Super Street Fighter II: The New Challengers;Capcom;Capcom;1994;SNES
X-Men: Mutant Apocalypse;Capcom;Capcom;1994;SNES
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1994;NES
The Adventures of Batman & Robin;Konami;Konami;1994;SNES
Animaniacs;Konami;Konami;1994;SNES
Biker Mice from Mars;Konami;Konami;1994;SNES
Lethal Enforcers;Konami;Konami;1994;SNES
Sparkster;Konami;Konami;1994;SNES
Tiny Toon Adventures: Wacky Sports Challenge;Konami;Konami;1994;SNES
Pac-Man 2: The New Adventures;Namco;Namco;1994;SNES
Stunt Race FX;Nintendo;Nintendo;1994;SNES
Super Mario All-Stars + Super Mario World;Nintendo;Nintendo;1994;SNES
Super Metroid;Nintendo;Nintendo;1994;SNES
Super Punch-Out!!;Nintendo;Nintendo;1994;SNES
Wario's Woods;Nintendo;Nintendo;1994;SNES
Wario's Woods;Nintendo Research & Development 1;Nintendo;1994;NES
Zoda's Revenge: StarTropics II;Nintendo Research & Development 3;Nintendo;1994;NES
Final Fantasy III;Square;Square;1994;SNES
Breath of Fire II;Capcom;Capcom;1995;SNES
Captain Commando;Capcom;Capcom;1995;SNES
Final Fight 3;Capcom;Capcom;1995;SNES
Mega Man 7;Capcom;Capcom;1995;SNES
Mega Man X2;Capcom;Capcom;1995;SNES
EarthBound;HAL Laboratory;Nintendo;1995;SNES
Kirby's Dream Course;HAL Laboratory;Nintendo;1995;SNES
Castlevania: Dracula X;Konami;Konami;1995;SNES
International Superstar Soccer;Konami;Konami;1995;SNES
International Superstar Soccer Deluxe;Konami;Konami;1995;SNES
NBA Give 'n Go;Konami;Konami;1995;SNES
Super Mario World 2: Yoshi's Island;Nintendo;Nintendo;1995;SNES
Chrono Trigger;Square;Square;1995;SNES
Secret of Evermore;Square;Square;1995;SNES
Marvel Super Heroes: War of the Gems;Capcom;Capcom;1996;SNES
Street Fighter Alpha 2;Capcom;Capcom;1996;SNES
Kirby Super Star;HAL Laboratory;Nintendo;1996;SNES
Super Mario RPG: Legend of the Seven Stars;Square;Nintendo;1996;SNES
Kirby's Dream Land 3;HAL Laboratory;Nintendo;1997;SNES
