Title;Developer(s);Publisher(s);Release Year
Short Order;TOSE;Nintendo;1989
Side Pocket;Data East;Data East;1987
Silent Service;Rare;Ultra Games;1989
Silkworm;Sammy Japan;American Sammy;1990
Silver Surfer;Software Creations;Arcadia Systems;1990
The Simpsons: Bart vs. the Space Mutants;Imagineering;Acclaim Entertainment;1991
The Simpsons: Bart vs. the World;Imagineering;Acclaim Entertainment;1991
The Simpsons: Bartman Meets Radioactive Man;Imagineering;Acclaim Entertainment;1992
Skate or Die!;Konami;Ultra Games;1988
Skate or Die 2: The Search for Double Trouble;Electronic Arts;Electronic Arts;1990
Ski or Die;Konami;Ultra Games;1991
Sky Kid;Namco;Sunsoft;1987
Sky Shark;Software Creations;Taito;1989
Slalom;Rare;Nintendo;1987
Smash TV;Beam Software;Acclaim Entertainment;1991
The Smurfs;Bit Managers;Unreleased;ased
Snake Rattle 'n' Roll;Rare;Nintendo;1990
Snake's Revenge;Konami;Ultra Games;1990
Snoopy's Silly Sports Spectacular;Kemco;Kemco*Seika;1990
Snow Brothers;Soft House;Capcom;1991
Soccer;Intelligent Systems;Nintendo;1985
Solar Jetman: Hunt for the Golden Warpship;Zippo Games;Tradewest;1990
Solomon's Key;Tecmo;Tecmo;1987
Solstice: The Quest for the Staff of Demnos;Software Creations;CSG Imagesoft;1990
Space Shuttle Project;Imagineering;Absolute Entertainment;1991
Spelunker;Tamtex,;Brøderbund;1987
Spider-Man: Return of the Sinister Six;Bits Studios;LJN;1992
Spot: The Video Game;Virgin Mastertronic;Arcadia Systems;1990
Spy Hunter;Sunsoft;Sunsoft;1987
Spy vs. Spy;Kemco;Kemco*Seika;1988
Sqoon;Home Data;Irem;1987
Stack-Up;Nintendo Research & Development 1;Nintendo;1985
Stadium Events;Human Entertainment;Bandai;1987
Stanley: The Search for Dr. Livingston;Sculptured Software;Electro Brain;1992
Star Force;Hudson Soft;Tecmo;1987
Star Soldier;Hudson Soft;Taxan;1989
Star Trek: 25th Anniversary;Interplay Entertainment;Ultra Games;1992
Star Trek: The Next Generation;Imagineering;Absolute Entertainment;1993
Star Voyager;ASCII;Acclaim Entertainment;1987
Star Wars;Lucasfilm Games;JVC Musical Industries;1991
Star Wars: The Empire Strikes Back;Lucasfilm Games,;JVC Musical Industries;1992
Starship Hector;Hudson Soft;Hudson Soft;1990
StarTropics;Nintendo Research & Development 3;Nintendo;1990
Stealth ATF;Imagineering;Activision;1989
Stinger;Konami;Konami;1987
Street Cop;Human Entertainment;Bandai;1989
Street Fighter 2010: The Final Fight;Capcom;Capcom;1990
Strider;Capcom;Capcom;1989
Super C;Konami;Konami;1990
Super Cars;Magnetic Fields;Electro Brain;1991
Super Dodge Ball;Technōs Japan;CSG Imagesoft;1989
Super Glove Ball;Rare;Mattel;1990
Super Jeopardy!;Imagitec;GameTek;1991
Super Mario Bros.;Nintendo Research & Development 4;Nintendo;1985
Super Mario Bros./Duck Hunt;Nintendo;Nintendo;1988
Super Mario Bros./Duck Hunt/World Class Track Meet;Nintendo;Nintendo;1990
Super Mario Bros./Tetris/Nintendo World Cup;Nintendo;Unreleased;ased
Super Mario Bros. 2;Nintendo Research & Development 4;Nintendo;1988
Super Mario Bros. 3;Nintendo Research & Development 4;Nintendo;1990
Super Pitfall;Micronics;Activision;1987
Super Spike V'Ball;Technōs Japan;Nintendo;1990
Super Spike V'Ball/Nintendo World Cup;Nintendo;Nintendo;1990
Super Spy Hunter;Sunsoft;Sunsoft;1992
Super Team Games;Human Entertainment;Nintendo;1988
Super Turrican;Manfred Trenz;Unreleased;ased
Superman;Kemco;Kemco*Seika;1988
Swamp Thing;Imagineering;THQ;1992
Sword Master;Athena;Activision;1992
Swords and Serpents;Interplay Entertainment;Acclaim Entertainment;1990
Taboo: The Sixth Sense;Rare;Tradewest;1989
Tag Team Wrestling;Data East;Data East;1986
TaleSpin;Capcom;Capcom;1991
Target: Renegade;Software Creations;Taito;1990
Tecmo Baseball;Tecmo;Tecmo;1989
Tecmo Bowl;Tecmo;Tecmo;1989
Tecmo Cup Soccer Game;Tecmo;Tecmo;1992
Tecmo NBA Basketball;Sculptured Software;Tecmo;1992
Tecmo Super Bowl;Tecmo;Tecmo;1991
Tecmo World Cup Soccer;Tecmo;Unreleased;ased
Tecmo World Wrestling;Tecmo;Tecmo;1990
Teenage Mutant Ninja Turtles;Konami;Ultra Games;1989
Teenage Mutant Ninja Turtles II: The Arcade Game;Konami;Ultra Games;1990
Teenage Mutant Ninja Turtles III: The Manhattan Project;Konami;Konami;1992
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1994
Tennis;Nintendo Research & Development 1;Nintendo;1985
The Terminator;Radical Entertainment;Mindscape;1992
Terminator 2: Judgment Day;Software Creations;LJN;1992
Terra Cresta;Nihon Bussan;Vic Tokai;1990
Tetris;Nintendo Research & Development 1;Nintendo;1989
Tetris 2;TOSE;Nintendo;1993
The Three Stooges;Beam Software;Activision;1989
Thunder & Lightning;Visco Corporation;Romstar;1990
Thunderbirds;Pack-In-Video;Activision;1990
Thundercade;Micronics;American Sammy;1989
Tiger-Heli;Micronics;Acclaim Entertainment;1987
Time Lord;Rare;Milton Bradley Company;1990
Times of Lore;Toho;Toho;1991
Tiny Toon Adventures;Konami;Konami;1991
Tiny Toon Adventures 2: Trouble in Wackyland;Konami;Konami;1993
Tiny Toon Adventures Cartoon Workshop;Novotrade International;Konami;1992
To the Earth;Cirque Verte;Nintendo;1989
Toki;Daiei Seisakusho;Taito;1991
Tom and Jerry;Software Creations;Hi Tech Expressions;1991
Tombs & Treasure;Compile;Infocom;1991
Top Gun;Konami;Konami;1987
Top Gun: The Second Mission;Konami;Konami;1990
Top Players' Tennis;Home Data;Asmik;1990
Total Recall;Interplay Entertainment;Acclaim Entertainment;1990
Totally Rad;Aicom;Jaleco;1991
Touch Down Fever;SNK;SNK;1991
Town & Country Surf Designs: Wood & Water Rage;Atlus;LJN;1988
Town & Country II: Thrilla's Surfari;Sculptured Software;LJN;1992
Toxic Crusaders;TOSE;Bandai;1992
Track & Field;Konami;Konami;1987
Track & Field II;Konami;Konami;1989
Treasure Master;Software Creations;American Softworks;1991
Trog!;Visual Concepts;Acclaim Entertainment;1991
Trojan;Capcom;Capcom;1987
The Trolls in Crazyland;KID;Unreleased;ased
Twin Cobra;Micronics;American Sammy;1990
Twin Eagle;SETA;Romstar;1989
Ufouria: The Saga;Sunsoft;Unreleased;ased
Ultima III: Exodus;Newtopia Planning;FCI;1989
Ultima IV: Quest of the Avatar;Atelier Double, Infinity;FCI;1990
Ultima V: Warriors of Destiny;Origin Systems;FCI;1993
Ultimate Air Combat;Activision;Activision;1992
Ultimate Basketball;Aicom;American Sammy;1990
The Uncanny X-Men;Pixel;LJN;1989
Uncharted Waters;Koei;Koei;1991
Uninvited;Kemco;Kemco*Seika;1991
The Untouchables;Special FX Software;Ocean Software;1991
Urban Champion;Nintendo Research & Development 1;Nintendo;1986
Vegas Dream;HAL Laboratory;HAL America;1990
Vice: Project Doom;Aicom;American Sammy;1991
Videomation;FarSight Studios;THQ;1991
Volleyball;Nintendo Research & Development 1;Nintendo;1987
Wacky Races;Atlus;Atlus;1992
Wall Street Kid;SOFEL;SOFEL;1990
Wario's Woods;Nintendo Research & Development 1;Nintendo;1994
Wayne Gretzky Hockey;Bethesda Softworks;THQ;1991
Wayne's World;Radical Entertainment;THQ;1993
WCW Wrestling;Nichibutsu;FCI;1990
Werewolf: The Last Warrior;Data East;Data East;1990
Wheel of Fortune;Rare;GameTek;1988
Wheel of Fortune Family Edition;Rare;GameTek;1990
Wheel of Fortune: Featuring Vanna White;Imagitec;GameTek;1992
Wheel of Fortune Junior Edition;Rare;GameTek;1989
Where in Time Is Carmen Sandiego?;Distinctive Software;Konami;1991
Where's Waldo?;Bethesda Softworks;THQ;1991
Who Framed Roger Rabbit;Rare;LJN;1989
Whomp 'Em;Jaleco;Jaleco;1991
Widget;Graphic Research;Atlus;1992
Wild Gunman;Nintendo Research & Development 1;Nintendo;1985
Willow;Capcom;Capcom;1989
Win, Lose, or Draw;Riedel Software Productions;Hi Tech Expressions;1990
Winter Games;Atelier Double;Acclaim Entertainment;1987
Wizardry: Proving Grounds of the Mad Overlord;Sir-Tech;Nexoft;1990
Wizardry II: The Knight of Diamonds;Sir-Tech;ASCII;1992
Wizards & Warriors;Rare;Acclaim Entertainment;1987
Wizards & Warriors III: Kuros: Visions of Power;Zippo Games;Acclaim Entertainment;1992
Wolverine;Software Creations;LJN;1991
World Champ;Pixel;Romstar;1991
World Class Track Meet;Human Entertainment;Nintendo;1988
World Games;Software Creations;Milton Bradley Company;1989
Wrath of the Black Manta;AI;Taito;1990
Wrecking Crew;Nintendo Research & Development 1;Nintendo;1985
Wurm: Journey to the Center of the Earth;Cyclone System;Asmik;1991
WWF King of the Ring;Gray Matter Interactive;LJN;1993
WWF WrestleMania;Rare;Acclaim Entertainment;1989
WWF WrestleMania Challenge;Rare;LJN;1990
WWF WrestleMania: Steel Cage Challenge;Sculptured Software;LJN;1992
Xenophobe;Sunsoft;Sunsoft;1988
Xevious;Namco;Bandai;1988
Xexyz;Atlus;Hudson Soft;1990
Yo! Noid;Now Production;Capcom;1990
Yoshi;Game Freak;Nintendo;1992
Yoshi's Cookie;TOSE;Nintendo;1993
The Young Indiana Jones Chronicles;Jaleco;Jaleco;1992
Zanac;Compile;FCI;1987
Zelda II: The Adventure of Link;Nintendo Research & Development 4;Nintendo;1988
Zen the Intergalactic Ninja;Konami;Konami;1993
Zoda's Revenge: StarTropics II;Nintendo Research & Development 3;Nintendo;1994
Zombie Nation;KAZe;Meldac;1991
