Title;Developer(s);Publisher(s);Release Year
Chip 'n Dale: Rescue Rangers;Capcom;Capcom;1990
Chip 'n Dale: Rescue Rangers 2;Make Software;Capcom;1994
Chubby Cherub;TOSE;Bandai;1986
Circus Caper;Advance Communication Company;Toho;1990
City Connection;Jaleco;Jaleco;1988
Clash at Demonhead;Vic Tokai;Vic Tokai;1990
Classic Concentration;Softie;GameTek;1990
Cliffhanger;Spidersoft;Sony Imagesoft;1993
Clu Clu Land;Nintendo Research & Development 1;Nintendo;1985
Cobra Command;Data East;Data East;1988
Cobra Triangle;Rare;Nintendo;1989
Code Name: Viper;Arc System Works;Capcom;1990
Color a Dinosaur;FarSight Studios;Virgin Interactive;1993
Commando;Capcom;Capcom;1986
Conan: The Mysteries of Time;Eastridge Technology;Mindscape;1991
Conflict;Vic Tokai;Vic Tokai;1990
Conquest of the Crystal Palace;Quest;Asmik;1990
Contra;Konami;Konami;1988
Contra Force;Konami;Konami;1992
Cool World;Ocean Software;Ocean Software;1993
Cowboy Kid;Pixel;Romstar;1992
Crackout;Konami;Unreleased;ased
Crash 'n the Boys: Street Challenge;Technōs Japan;Technōs Japan;1992
Crystalis;SNK;SNK;1990
Cyberball;Richard Seaborne;Jaleco;1992
Cybernoid: The Fighting Machine;Raffaele Cecco;Acclaim Entertainment;1989
Dance Aerobics;Human Entertainment;Nintendo;1989
Danny Sullivan's Indy Heat;Rare;Tradewest;1992
Darkman;Painting by Numbers;Ocean Software;1991
Dash Galaxy in the Alien Asylum;Beam Software;Data East;1990
Day Dreamin' Davey;Sculptured Software;HAL America;1992
Days of Thunder (1990 video game);Beam Software;Mindscape;1990
Deadly Towers;Lenar, Tamtex;Brøderbund;1987
Defender II;Vid Kidz;HAL America;1988
Defender of the Crown;Beam Software;Ultra Games;1989
Defenders of Dynatron City;Lucasfilm Games;JVC Musical Industries;1992
Déjà Vu;Kemco;Kemco*Seika;1990
Demon Sword;TOSE;Taito;1990
Desert Commander;Kemco;Kemco*Seika;1989
Destination Earthstar;Imagineering;Acclaim Entertainment;1990
Destiny of an Emperor;Capcom;Capcom;1990
Devil World;Nintendo Research & Development 1;Unreleased;ased
Dick Tracy;Realtime Associates;Bandai;1990
Die Hard;Pack-In-Video;Activision;1992
Dig Dug II: Trouble in Paradise;Namco;Bandai;1989
Digger T. Rock: Legend of the Lost City;Rare;Milton Bradley Company;1990
Dirty Harry;Gray Matter Inc.;Mindscape;1990
Disney's Aladdin;NMS Software;Unreleased;ased
Disney's Beauty and the Beast;Probe Software;Unreleased;ased
Disney's Darkwing Duck;Capcom;Capcom;1992
Disney's The Jungle Book;Eurocom;Virgin Interactive;1994
Disney's The Lion King;Dark Technologies;Unreleased;ased
Disney's The Little Mermaid;Capcom;Capcom;1991
Donkey Kong;Nintendo Research & Development 1;Nintendo;1986
Donkey Kong 3;Nintendo Research & Development 1;Nintendo;1986
Donkey Kong Classics;Nintendo;Nintendo;1988
Donkey Kong Jr.;Nintendo Research & Development 1;Nintendo;1986
Donkey Kong Jr. Math;Nintendo Research & Development 2;Nintendo;1986
Double Dare;Rare;GameTek;1990
Double Dragon;Technōs Japan;Tradewest;1988
Double Dragon II: The Revenge;Technōs Japan;Acclaim Entertainment;1990
Double Dragon III: The Sacred Stones;Technōs Japan;Acclaim Entertainment;1991
Double Dribble;Konami;Konami;1987
Dr. Chaos;Marionette, SRS;FCI;1988
Dr. Jekyll and Mr. Hyde;Advance Communication Company;Bandai;1989
Dr. Mario;Nintendo Research & Development 1;Nintendo;1990
Dragon Fighter;Natsume;SOFEL;1992
Dragon Power;TOSE;Bandai;1988
Dragon Spirit: The New Legend;Now Production;Bandai;1990
Dragon Warrior;Chunsoft;Nintendo;1989
Dragon Warrior II;Chunsoft;Enix;1990
Dragon Warrior III;Chunsoft;Enix;1992
